10,33,6,33,28,16,17,14,17,22,27,0,27,15,32,19,32,7,5,30,34,6,33,22,17,1,9,1,34,10,3,11,7,34,34,32,7,32,26,24,4,30,22,35,22,22,25,13,15,29,3,21,28,34,35,11,21,20,28,20,1,9,14,29,25,32,13,29,21,18,3,21,19,31,3,28,4,5,5,0,7,33,10,27,10,26,23,16,0,35,30,31,23,12,23,33,12,3,33,22,
28,18,35,27,14,19,1,33,31,30,36,31,6,5,32,36,1,31,24,12,7,16,1,31,7,8,8,34,14,29,16,29,28,16,31,25,20,22,36,30,8,35,3,10,15,16,21,1,36,5,35,23,33,9,35,3,30,11,22,3,36,21,22,4,17,14,24,18,25,35,25,12,15,9,29,8,0,4,13,34,17,26,5,21,15,34,4,7,25,33,11,15,26,17,10,19,4,6,23,28,
7,16,2,20,8,31,12,29,10,22,27,21,28,28,8,21,7,15,20,0,24,3,0,9,18,33,16,15,17,34,33,21,9,32,6,30,22,28,22,6,8,0,4,28,15,30,32,32,19,31,16,14,11,26,32,28,22,9,4,4,1,34,5,2,10,3,24,1,0,18,7,34,8,11,17,2,14,8,19,20,22,9,8,6,36,22,5,26,1,14,26,24,14,26,20,34,19,23,9,5,
10,32,21,11,2,20,9,11,35,24,4,32,28,26,24,7,8,4,6,20,2,23,18,22,3,6,34,10,0,7,24,1,23,4,23,1,34,13,20,8,5,8,26,25,35,23,16,30,20,27,13,28,1,32,16,14,22,12,8,33,23,28,22,17,1,12,16,9,5,25,15,3,12,19,29,8,22,14,26,19,9,9,22,15,19,34,7,29,15,36,4,20,20,30,11,14,25,35,5,24,
21,34,23,2,4,4,11,5,19,3,10,32,23,30,35,35,20,10,13,23,26,33,2,19,29,24,31,17,30,28,14,0,30,3,20,13,14,7,15,26,9,26,22,23,14,21,16,12,10,31,1,26,35,35,15,26,10,9,8,33,29,35,23,26,10,14,9,35,26,19,10,14,18,17,15,6,10,12,7,8,27,11,23,2,35,30,30,20,27,4,12,17,9,16,1,32,24,34,35,12,
34,22,1,16,35,9,13,7,3,20,31,26,34,10,32,18,2,25,0,17,12,21,12,27,32,18,12,18,22,30,24,27,36,3,5,6,11,22,0,21,27,21,5,0,7,6,0,7,23,12,22,22,2,6,7,25,0,27,7,29,28,15,2,13,3,18,1,36,18,28,36,20,29,6,28,21,28,32,17,29,29,17,17,19,33,14,22,15,26,1,26,1,31,30,26,0,2,3,27,33,
7,36,19,4,35,9,21,15,17,3,20,19,15,9,34,17,26,23,2,10,8,0,0,13,7,22,16,36,33,2,5,16,22,4,8,29,8,31,30,24,2,23,16,26,12,1,23,26,27,14,6,1,9,24,14,3,17,36,33,5,23,1,5,20,15,14,30,10,32,11,33,14,11,3,21,22,31,21,16,4,10,27,7,20,36,4,21,3,18,34,23,8,17,24,11,29,7,25,23,35,
35,32,5,24,26,27,3,4,16,4,21,6,17,1,1,16,0,32,3,17,21,27,3,19,7,18,23,36,28,21,32,36,33,13,1,32,7,23,23,12,27,6,2,34,19,33,7,6,23,2,4,19,33,32,4,24,22,12,22,32,1,6,15,6,21,6,16,12,14,2,13,26,28,4,15,19,2,12,5,12,18,6,16,35,9,32,19,26,21,18,20,5,0,31,29,30,10,19,13,36,
26,6,11,1,18,15,23,27,27,10,0,6,10,29,26,12,33,26,5,20,1,22,4,23,36,9,11,31,11,33,27,23,5,32,28,7,15,29,11,36,6,10,8,16,26,28,35,26,34,9,27,19,13,16,6,0,5,30,24,8,20,34,21,3,34,35,8,23,25,32,2,8,3,16,30,10,1,24,9,23,20,2,26,5,36,4,30,9,13,6,17,26,13,5,14,34,26,19,9,19,
7,33,10,21,24,25,23,26,14,6,32,10,34,15,16,10,7,20,27,35,0,1,17,23,32,18,25,3,30,21,32,28,8,33,0,30,5,3,35,35,24,7,14,34,36,21,16,22,14,5,23,11,18,13,18,5,9,22,35,4,34,0,3,31,2,32,7,10,31,28,13,15,18,31,8,27,27,11,13,34,10,25,8,30,19,22,4,22,18,21,27,16,26,25,21,1,0,14,1,36,
